"零熵协议海外市场营销执行方案 周期4个月 (04-08)
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,46195,,AMA-,同步discord,,刷量及数据,（零熵协议新内容策划
06.24-06.30,,线下活动预热，机构对接等宣发+一篇文章,46197,,合作官推 +ama,互动转推,,刷量及数据,
,,,46198,,bibox ama,200~300USDT,,活动配图,
,,,46199,,合作官推,互动转推,,刷量及数据,
,,,46200,,线下活动活动海报预热转推,互动转推,,活动配图,
,,,46201,,合作官推,官方社群,,活动配图,
,,,46202,,转推官方合作,预热,,活动配图,
,,,46203,,周报,同步discord,,刷量及数据,（零熵协议新内容策划
07.01-07.07,,发布DC 长期数据活动，3个项目合作+AMA+一篇文章,46204,,合作官推 ,互动转推,,刷量及数据,
,,,46205,,发布discord 长线运营活动,周期一个月，活跃身份等级排名赠送,,活动配图,
,,,46206,,assure AMA,在对方社区,,刷量及数据,
,,,46207,,线下大会现场活动同步,互动转推，同步现场,,活动配图,
,,,46208,,合作官推,官方社群,,互动转推,
,,,46209,,待定,预热,,活动配图,
,,,46210,,交易所类增长活动,同步discord,,刷量及数据,（零熵协议新内容策划
07.08-07.15,,AMA合作，项目宣发合作；官网更新活动，官宣活动，机构对接等宣发,46211,,合作官推 ,互动转推,,刷量及数据,
,,,46212,,发布discord 长线运营活动,周期一个月，活跃身份等级排名赠送10黑。20黄，70白,,活动配图,
,,,46213,,合作,在对方社区,,刷量及数据,
,,,46214,,aMA合作,200~300USDT,,活动配图,
,,,46215,,合作官推,官方社群,,互动转推,
,,,46216,,待定,预热,,活动配图,
,,,46217,,交易所钱包合作官推,同步discord,,刷量及数据,
07.16-07.23,,"2家合作，官宣活动做上所前的最后数据链上优化提升补充代币分配：
TGE具体时间：
代币释放细则：
潜在持币人数：
初始流通市值，FDV等数据：
空投规则和覆盖人群（后台或者链上相关数据）",46219,,合作官宣,互动转推,,刷量及数据,
,,,46220,,合作官宣,互动转发,,活动配图,
,,,46221,,发布一个新话题活动排名（引导DC）,将活跃情况进行一个排名,,刷量及数据,
,,,46222,,做数据交互,工作室入场一周数据提升,,活动配图,
,,,46223,,提高搜索引擎seo,官方社群,,互动转推,
,,,46224,,待定,预热,,活动配图,
,,,46225,,交易所钱包合作官推,同步discord,,刷量及数据,
07.24-07.31,,"roadgame合作,3-4家合作；大使社区结果公布，官宣活动，机构对接等宣发",46227,,合作官宣,互动转推,,刷量及数据,
,,,46228,,执行社区活动,互动转发,,活动配图,
,,,46229,,官宣合作,互动,,刷量及数据,
,,,46230,,AMA,互动转推,,活动配图,
,,,46231,,整理文案周报,官方社群,,互动转推,
,,,46232,,kol活动预热,预热,,活动配图,
,,,46233,,上所通知,同步discord,,刷量及数据,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
目标：初版本海外运营执行方案，会在GOOGLE每日同步工作内容进度；3个半月运营左右开始达到对接交易所的流程，上所后提供软运营服务,,,,,,,,,
